8b2e412d AbilitiesData
32263cf0 ArenaData
86a2faf6 ArenaDisplayNameTra
0f9e7be2 ArenaIconPath
e7d30d42 ArenaInfoPanel
086c829a ArenaIntroCutscene
a02b6be0 ArenaLocatorBlackboardName
41b7067d ArenaOwnerBlackboardName
b75de03c ArenaPositionLocatorName
18befb6c ArenaSkinIcon
3a249a4b ArenaSkinLoadoutGridButtonData
7f565eb6 ArenaSkinLoadoutItemListPanelData
fa965c94 ArenaTransformCutscene
5a439ba5 ArmLength
f84984d4 Armor
5f4887eb ArmorBorders
d5d36ff5 ArmorIcon
2d0d1f1d ArmorMaterial
f3da4ee2 ArmorMax
b7bf62a1 ArmorPenetration
da11ad7b ArmorPerLevel
8eccbe27 ArmorThreshold
204f9e3c ArmorThresholds
bd9669f8 ArmorUpgrade
90c4c347 ArmorUpgradeGrowth
3132877e ArmoryActionButtons
edeac8bd ArmoryIconPath
2b0d70e8 ArmoryStyle
76a2558a ArmoryTimeoutVfx
edf2aef5 ArmoryUiOverride
ffbbe351 ArrivalEffectFile
a45aeb0a ArrowAnchorBase
4f02b933 ArrowIcon
a1499fc0 ArrowIcons
91395787 ArrowSize
e0e43e2f Asleep
aea44051 Aspect
dcf2bbe3 AssassinItemsFilterButtonDefinition
81082e4b AssetBinName
3175593f AssetCategory
7503462e AssetListId
d01a2020 AssetRemappingTable
a2564d38 Assets
adce1b8d AssistCount
b29567fa AssistDurationOverride
fddf21be Assisters
de748cc1 AssociatedChampions
f0021999 AssociatedCharacterName
02907c62 AssociatedPlayer
1a734ec3 AssociatedPlayers
a327f48b AssociatedTeams
9071fd36 AssociatedTraits
f7e7945a AssociatedVersions
346b8e71 AsyncLoading
a8a558ff Asynchrone
8fc9b870 AsynchronousClientNetworking
989f1d2f AsynchronousNetworking
cb17b3cc Atlas
edea298e AttachOrientation
4d5ff2d7 AttachToBone
992b4e86 AttachToCamera
0d0ab898 AttachToHealthBar
c352083e AttachToLocation
9e0f55aa AttachViaBone
9cce0d5a AttachedToBone
a5cb7c68 Attachment
cd79ab0b AttachmentName
e5644351 AttachmentOverrides
c360bba5 AttachmentSlots
4595b8fd Attack
a2873abe AttackAutoInterruptPercent
0d1788bd AttackBlindIcon
1ee195a0 AttackItemsFilterButtonDefinition
439d079f AttackLossIcon
d02a667b AttackMoveTargetForgivenessRange
c270990a AttackRange
f2eb4b1f AttackRank
7a209a48 AttackSpeed
d1ca3bda AttackSpeedCatchup
1bdbaedf AttackSpeedPerLevel
60c51c2b AttackSpeedRatio
4ca4732d AttackSpeedSlow
25a4e101 AttackableUnitStatusType
4c73c8c6 AttributeFlags
e0613999 Audio
3b182105 AudioBankPaths
189600ee AudioBankUnits
7ea3e8d8 AudioEventName
f1695b8d AudioFlexValueParameterName
596b6a3e AudioParameterFlexId
a185a643 AudioParameterTimeScaledDuration
5cfe9324 AudioSource
76503b91 AudioType
e1ceee4c AugmentButton
85e383b4 AugmentColors
14df3d1e AugmentContainerIcon
2c15dfef AugmentContainerIconFrame
1560baec AugmentContainerName
d13c2d6e AugmentContainerTexture
5ac76772 AugmentDescription
0c4b6fb6 AugmentDisplayTagData
bc2c3f87 AugmentDisplayTagFrame
588a734a AugmentDisplayTagRow
26c61566 AugmentDisplayTagSpacer
e52e8845 AugmentDisplayTagText
c1716cff AugmentDisplayTags
28c7bec7 AugmentGridItem
2f403bdb AugmentGroup
bcce96da AugmentHoverVfx
74ea8609 AugmentIcon
2f1fc9f9 AugmentIconBackground
d86980d8 AugmentIconLarge
b812c692 AugmentIconMedium
8731b20e AugmentIcons
954bc86a AugmentIdleVfx
e496de6f AugmentItemData
f1f7e50d AugmentLargeIconPath
73f6b70e AugmentLayout
a1af8ca8 AugmentLevelTitle
e0f9184b AugmentLevelUpData
09dcaddb AugmentName
19ae3e16 AugmentNameId
6ce44f07 AugmentNotPickedVfx
f9021d56 AugmentPanelData
4839fda4 AugmentPickedVfx
827dc19e AugmentPlatformId
17086006 AugmentPool
d94aa383 AugmentRefreshOverlayVfx
5f1b3269 AugmentRefreshVfx
4e5e622e AugmentSelectionGrid
13187351 AugmentSkin
ee55616c AugmentSlotData
43a26ef5 AugmentSlots
45481fb5 AugmentSmallIconPath
10d5509e AugmentTitle
5a075a9b AugmentTooltipButton
366935fc AugmentTooltipTra
b43288f2 AugmentUiOverride
64788b9b AugmentedVfx
1d721851 Augments
a8bdced9 AuthoredWidth
a6f8a5ac AutoActivateTimeBeforeSpawn
16c4336b AutoAttackSpellsUseSpellSource
f68eb447 AutoBuffActivateAttachBoneNames
7f5cd9e0 AutoBuffActivateEffects
3e3c2065 AutoItemPurchasingUsesNewRecData
29033d31 AutoOffset
c003e6a8 AutoOpenShopInPlanningPhaseDelaySecs
04cfe414 AutoScale
f91faa4f AutoSpellCast
62bb343b AutoSpellCastInfo
3fbcbe60 AvailableDefaultIcon
8a55be97 AvailableHoverIcon
3a42ca56 AvatarIconPath
6e39b04a AwayGoldMineSkinId
a8f48b28 AwayStatusIcon
6d2badf4 Axis
cf0bf7fe AxisFraction
c93265ff AxisSpeed
d0838f6a BackButton
93c0f4f7 Backdrop
9840a232 BackdropFull
30c252ab BackdropLink
2aaa4453 BackdropLite
4babd89d Background
d67244d0 BackgroundAssets
cbd504c1 BackgroundCooldownEffect
d4202096 BackgroundDefault
4bd96f8f BackgroundElement
98ad7c8f BackgroundElementMap
2a0d903e BackgroundFrame
e1ccfef5 BackgroundHover
6cebd5d8 BackgroundIcon
3ac7aa82 BackgroundImage
646cf661 BackgroundImagePath
63307781 BackgroundLink
d463462e BackgroundMissingTexture
fce8e78c BackgroundTexture
87696dab BackgroundTexturePath
b2e8a534 BackgroundTimingOffset
302ccf7d BackgroundTopCenter
0c26ddee BackgroundTopRight
dc47fab7 BackgroundVfx
0d867eaa Backgrounds
35648278 Badge
476d21ab BadgeBg
a1584d60 BadgeData
8a7308b3 BadgeDisplayProperty
3a5746e5 BadgeId
b35faadf BadgeText
090986cc BadgeTroyFile
2ce97d34 BadgeVfx
1050e36a BalanceHeader
abcc11e8 BalanceValue
4ac1dc46 BandData
3b952e97 Bank
084845fa BankAssetPath
2a21ad00 BankPath
85bd6cfe BankPath2013
c6040c09 BankPaths
3a039f11 BankUnitList
f8f29f92 BankUnits
416bc18f Banner
dbc00b43 BannerBackground
6ff16584 BannerCurrency
4a705109 BannerCurrencyId
250cef17 BannerData
68377fdd BannerDurationSecs
bcdd8d75 BannerEntries
a08a6b31 BannerFlag
1a9e9484 BannerFlagId
91c02319 BannerFrameId
33bd70d7 BannerList
3f74778c BannerName
9f245e2f BannerNode
95e59d55 BannerSet
16085225 BannerTexturePath
7b9fba40 BannerTheme
90d74224 BannerTimer
44508cd7 BannerTrim
5a00548d BannerVfx
ced915ef BannerVfxEnableTime
f8a25fb4 Banners
83d47180 BarBackdrop
82a8b60e BarElementList
a2a39d73 BarElements
b16f7307 BarFill
fb0fa193 BarHitRegion
b4f0cbde BarHoveredState
bcc3158a BarTipElements
7475748d BarVfxGroup
3cd0d32e BaronGoldValue
e1c50cb2 BaronIcon
65d39c4f BaronScore
6b93eab0 BaronValue
a2621347 BarrackMinion
4fbc08a8 BarracksConfig
8f0c2ed6 BarracksLink
3ddc94d8 Base
0787f1cf BaseArmor
8c308ee2 BaseAttackSpeedBonus
eac10e8a BaseBinName
a05cacaa BaseBinPath
0eaa2d9d BaseCost
ad6d25a8 BaseCounterAdvice
2d7fd821 BaseCounterAdviceSets
c4441218 BaseCritChance
adf82603 BaseCurrency
03da00f9 BaseDamage
84ff70c0 BaseData
07a620d7 BaseDodge
5ebf3038 BaseFactorHpRegen
c6e17e07 BaseFactorParRegen
919f97f9 BaseFriendsListScissorRegion
411dc52e BaseGold
4d823f17 BaseHoverGlow
17b55a20 BaseHp
72a0f669 BaseIcon
3f19432c BaseLoadable
8f4a2881 BaseMaterial
f376912c BaseMissChance
044fff45 BaseModel
785214a0 BaseMoveSpeed
bac6b669 BaseOutputIconModifier
4d95498b BasePar
62e44e6b BasePosition
2fa68f7a BaseScale
02b730f7 BaseSpellBlock
2d15f18c BaseSpellEffectiveness
4b102e57 BaseStaticHpRegen
ee22a456 BaseStaticParRegen
a24d4513 BaseTexture
f9cb5858 BaseTextureName
d488fdc9 BasedOnMap
b8f0a725 BasicAttack
a5f62850 BasicAttackIconTextureName
ccc89809 BasicAugments
346a1164 BasicGroup
6849532d BasicHoverRegion
24e4cc78 BasicIcon
47acdd27 BasicLayout
1c351dfb BasicStatAmount
732aab4c BasicStatName
54432b65 BasicStatUi
38be1d74 BasicStats
f8aa00ca BatteryLevelIcons
d1d5634d BatteryLevels
4948cbcb BattleFury
493f0582 BattlepassButton
e3dc40d3 BattlepassButtonDefinition
f4a16502 BattlepassRewards
cfd1aa4a BattlepassScene
59a22832 BattlepassSpacer
d4c3bc70 BattlepassToastView
a1bef65d BaublesSpell
f2505841 BbConvertedBlockSoon
acd3ddc1 BbGetModifiedCooldownConverted
a3820b10 BbNewBlockOnly
52aecb41 BbScriptProfileDump
6c7b5eda BeamEffectDefinition
0d14fb57 BeamLocalSpaceSourceOffset
fbdecd1f BeamLocalSpaceTargetOffset
5af6ed81 BeamMode
d844ed3d BeamParticleDefinition
7d128718 BeamSegments
6b89d541 BeginIn
f314d542 BeginOut
a2ed28e0 BeginPatchingButton
3ba01201 BeginPatchingButtonDefinition
cfe9be27 Behavior
5eac2a00 BehaviorScript
9f6b2d9c BehaviorScriptContainers
99cd3c48 BehaviorScriptList
f4bee44a BehaviorSets
a0f69e3c Behaviors
44c48f24 BehaviorsData
90afd4cd Berserk
85f19f5c BerserkTargetingParameters
5e6b3b22 BerserkTargetingParametersMap
c9082b0c BerserkTargetingParametersPriorityList
062eab0b BetweenGroupSpacing
21933119 BezierMaxSize
ba467ec4 Bias
e4f5bdce BillionAbbreviationTraKey
9252cbd2 BindFlexToOwnerPar
b0afcae5 BindLocation
ca406316 BindWeight
a24dc16e BirthAcceleration
83cdeaa1 BirthColor
8275da98 BirthDrag
c5e25c95 BirthFrameRate
51433ef4 BirthOrbitalVelocity
9cd63344 BirthRotation
5932ff9c BirthRotation0
5a33012f BirthRotation1
36fa5371 BirthRotationalAcceleration
1819121e BirthRotationalVelocity
1d779e6a BirthRotationalVelocity0
1e779ffd BirthRotationalVelocity1
4ce02fdc BirthScale
f0eb7084 BirthScale0
f1eb7217 BirthScale1
1a9daeb4 BirthTilingSize
ff7d0e41 BirthTranslation
32a3ce18 BirthUvRotateRate
edbcaa56 BirthUvRotateRateMult
cfb707de BirthUvScrollRate
32356474 BirthUvScrollRateMult
b9198a2a BirthUvoffset
740ca9c0 BirthUvoffsetMult
fa41ab8d BirthVelocity
a5d2169c BitField
091fa8ec BitIndex
ef27cfa4 BlackboardAssociatedPlayers
2b0d6b09 BlackboardCameraBone
e9a603a8 BlackboardEffectSource
29dc93a8 BlackboardExtraPlayerName
98defecd BlackboardFinisherSource
dce57aa1 BlackboardFinisherTarget
c3d099d5 BlackboardFovBone
a4165ca5 BlackboardGameObject
a9a420c6 BlackboardGameObjectName
ebd01b52 BlackboardGameObjectOriginal
591c11bb BlackboardGameObjectProxy
cebe5a27 BlackboardName
e6e98d24 BlackboardOffsetPosition
e7d0a706 BlackboardOrientation
ee447e96 BlackboardPlayers
31e70c2f BlackboardPosition
4d3d18ca BlackboardTargetObject
ed53a3fb BlackboardTransformName
ad2d5ae5 BlackboardVfxSource
6058471f BlackboardWorldTransformName
0bbc40d8 Blend
6d3315f3 BlendDistance
23b75597 BlendEnable
8ffbd6de BlendEquation
999ec9a6 BlendInTime
fa784eab BlendMode
8d1a7a7d BlendOutTime
cb37fca4 BlendWithAlpha
106183b4 Blind
a2734825 Blinded
98ba36f3 BlockInputEvents
44b4862a BlockPlayerIcon
160da1c3 Blocks
c967b34f Bloodwell
8c678ff0 BlueSkin
25834918 BlueTeamElementSelectedColor
df925021 BlueTeamElementUnselectedColor
a97179ac BlurKernelSigma
176d4d09 BlurQuality
666abee0 BlurTextures
8d30a918 BoardCountContribution
75fbcb48 BoardPosition
d5fb8330 BodyDefinition
3de41360 BodyIcon
87f1c91c BodyKey
0295b143 BodyScrollSceneViewPane
b568ab4e BodyText
89590d18 BodyTextHandle
d2af59ed BodyTraKey
de96f676 Bold
db90e18f Bone
1ecb978c BoneName
64fe08ec BoneToSpawnAt
a458b855 BonusOutputIconModifier
a18027e5 BonusSkin
77def630 BonusTrait
624ce5b5 BonusVotesForJungler
c1948a38 Book
0e4fb927 BoolDriver
94911120 BoolSource
c79493aa Boom
a9d4b6e8 BoomFxTable
29a7efc6 BoomLifeTimeSec
15db0d85 BoomMapParticleName
e1f94e91 BootsPanelDefinition
2e373003 BootsQuickBuyData
1f523237 Border
29f1f29f BorderAugments
b666bd80 BorderDefault
832a4da7 BorderDisabled
77af310c BorderEnabled
d8655cd7 BorderLevelFive
b2c6f4d3 BorderLevelFour
e545ad45 BorderLevelOne
1da78635 BorderLevelSix
87c8bd65 BorderLevelThree
ba07502f BorderLevelTwo
4d4108e1 BorderMythic
e7b947a0 BorderPath
3e37c63b BorderRingElement
074403d5 BorderScene
c00a5c96 BorderSelected
adfac771 BorderTreatment
9265210c Borders
4048c61e BotData
fc56964a BotDefaultSpell1
fb5694b7 BotDefaultSpell2
a8c6303b BotEnabled
7dfe4c9d BotEnabledMm
84a0987a BotIconSize
ff2a3108 BotLeftOffset
03a75fcf BotSkillData
925b23cb BotSpell1
5230cada BottomBlackBar
f12be813 BottomButtons
f21efab0 BottomHrMomentumPost
e2e4f9c2 BottomHrYPostAdjustment
bb9129ab BottomHrYPreAdjustment
d1c4c0d3 BottomPadding
6783811a BottomScene
47bdbbe9 BottomYPaddingAdjustment
c916a9fc BounceLightFalloffDistance
c7878a1b BounceRadius
83422eb0 BoundChampion
706468a8 BoundingCylinderHeight
0506a4c5 BoundingCylinderRadius
4c289d35 BoundingRegion
96169cd6 BoundingSphereRadius
3d56aa08 Bounds
5d42c230 BoundsElement
bf563566 BoundsMax
b14297a4 BoundsMin
377db006 Bounty
56d8c006 BountyData
0f9b5ab3 BountyIcon
214b4895 BountyText
f2c99cb4 BoxMax
e0b465a6 BoxMin
6e304492 BreakpointAmount
5855caa8 BriefText
0e1a23ca BriefTextBackdrop
34d0622a Brightness
054c178e BrightnessMod
c91afa4d BrushAlphaOverride
4a2aa0cc Buff
3f0d4c0f BuffAddType
93e6b3ec BuffAttribute
c71b8992 BuffDisplay
62580dd4 BuffDisplayTemplate
b8c35392 BuffEffects
5876d022 BuffLayout
209cf85d BuffModifier
92f50a07 BuffName
6e76e461 BuffNameFilter
77f746e5 BuffOverrides
c2488500 BuffScriptPath
9ab26724 BuffTextureName
d572b84d BuffTimer
a10ad504 BuffType
a4b26c65 BufferRegionElement
e94ae473 BufferScale
8cbd6cae BufferedInputData
5fd8c182 BuildTreeDisplayRegionDefinition
2ac59a87 BuildTreeIconDefinition
7ba0c753 BuildTreeTopIconScale
e994800f BuildUpTime
7f6c17a6 BuildVersionText
c43cfe31 BuildVersionTextFooter
6e43f0a2 BuildingBlocksDontLookToPtp
8d11c272 Buildings
185361a8 BuildsIntoDroplistBackdropDefinition
1666aaf3 BuildsIntoDroplistItemHoverDefinition
8fb4c5d5 BuildsIntoDroplistScene
464daf3a BuildsIntoIconDefinition
616b3a84 BuildsIntoOverflowButton
3d8e74c7 BuildsIntoSlotDefinition
7df5b85f BuildsIntoTextOverflowScale
5c042946 BuildupMapParticleNames
33029197 BundleIconPath
5dedab86 BundleItemFrameHoverIcon
70e33256 BundleItemFrameIcon
5893e64c BundleItemFrameUnpurchasable
456ae8d3 BundleItemIcon
b213e947 BundleItemListRegionDefinition
d05802ad BundleItemMoreTag
2435e125 BundleItemMoreTagHover
75ef6ce0 BundleItemMoreText
11bbbba9 BundleItemPrimaryIcon
af6f020c BundleItemPurchaseButtonDefinition
fb061739 BundleItemSecondaryIcon
d6f8b1fa BundlePostfixTraKey
fc53db08 BundleStackPrimaryText
9057e20c BundleStackSecondaryText
5a9e9148 BundleStackText
273204b8 BunnyElementOffStates
3e4e47c6 BunnyElementOnStates
fa660ed6 BunnyElements
e4d83b53 Buoyancy
3cd17151 BurstData
cd8fd944 BurstFadeMeter
9d41b7c6 BurstFadeMeterOther
944586d6 BurstFadeMeterSelf
3264f70f BurstHealData
ea2e3332 BurstHealMeterAlly
050c0698 BurstHealMeterEnemy
35cff176 BurstHealMeterSelf
6081c408 BurstHealMeterSelfColorblind
952a2284 BurstTimeWindow
283f8a9c BurstTriggerPercent
43b27471 Button
a4eddce1 Button1Definition
7ef45c5c Button2Definition
346d1a88 ButtonArea
c1d56577 ButtonClickedIcon
0e96d7ef ButtonDefaultIcon
0121d849 ButtonDefaultText
df989f94 ButtonDefinition
9fe3315c ButtonDisabledIcon
49077fe4 ButtonEasingData
dff003b3 ButtonElement
46d5e740 ButtonElements
d76032fc ButtonFxIn
311174c8 ButtonFxOutSelected
69200377 ButtonFxOutUnselected
cba216c4 ButtonHoverIcon
5b66960a ButtonHoverText
05d831fc ButtonIcon
c256041d ButtonIcons
38a0d88c ButtonIdleGlowFx
76207902 ButtonIdleSheenFx
749ed52b ButtonLayout
9a40c29c ButtonNext
37e4f17e ButtonPostFxIn
df1ebde2 ButtonPressedText
b832d57c ButtonPrev
ab91ba1f ButtonScene
5df249a0 ButtonSelected
496a4392 ButtonStyle
7348db33 ButtonStyles
b6b04242 ButtonText
256ea259 ButtonType
8958620d ButtonVerticalLayout
93ec9f26 Buttons
7d83e942 ButtonsRegion
4274d966 ButtonsScene
013bb8da BuyExpButton
92759f4a BuyExpButtonScene
6ce5ac3f BuyExpButtonTextHandle
f7d3bbbd BuyExpClickDefaultVfx
83ee348a BuyExpClickElement
d032c23a BuyExpCostTextHandle
08c3b367 BuyExpIconData
71f39f63 Bye
9abe42e5 ByeFx
c05227a8 ByeLabels
32b3b7d8 ByeTeamDisplayData
0ae88c3b CallForHelpSpike
87f03406 Callback
3c4ca1c2 CameoDisplayData
04d2dcb4 CameoList
141669d6 CameoPortraitIcon
dc2df35f CameoPortraitRegion
b186288e CameoTooltipAnchor
d65e723c CameraAnimation
6495fab8 CameraBone
d00dda71 CameraBoundsAsPercentageOfMapBounds
634c549e CameraControlsComboBoxDefinition
b587877d CameraLockButton
d9fb13de CameraMask
64fe3d2f CameraView
c32b088a CamoRingEffect
8b4aef98 CamoRingEffectOther
a9ef3654 Camp
91c65290 CampIndex
a0e8bf2a CampLevel
f135454f CampName
6463e656 CanBeMadeObsolete
1e4e8270 CanCastOrQueueWhileCasting
db633223 CanCastWhileDisabled
a7ee6542 CanCompleteCastWithoutTarget
cbcf70b7 CanCritAllies
b1bda8e9 CanDespawn
5a1d6084 CanLoadLuaFromLooseFiles
9acfbbaf CanOnlyCastWhileDead
414dc3ed CanOnlyCastWhileDisabled
a1e16032 CanSellDuringArmory
0592970c CanShareThemeMusic
08edc89c CanStompSelf
62e282aa CanTimeoutWhileCasting
91b3ecea CanTransitionMidPlay
1347d194 CancelButtonAdditionalIcons
87cf41fe CancelButtonDefinition
f0d0b6e3 CancelButtonIcons
0c8d5290 CancelHitRegion
9c1a0f62 CannonMinionLaneRotation
0ce7b561 CannotBeSuppressed
8804c850 CantCastWhileRooted
32dd4bd4 CapBurstEmitters
e092a753 CardBackground
839b7f88 CardDefault
21487589 CardHoverMythic
7ae2c38b CardHoverMythicVfx
4b1c7874 CardHoverNonMythic
0b4cf0a8 CardHoverNonMythicVfx
f2b60494 CardRefreshMythicVfx
3002e1a9 CardRefreshNonMythicVfx
6771125d CardScene
0833fc1c CardSceneAnchor
aa98a764 CardSelectedMythic
e158e738 CardSelectedMythicVfx
482cc73f CardSelectedNonMythic
